DateSK,Date,Day,DaySuffix,DayOfWeek,DOWInMonth,DayOfYear,WeekOfYear,WeekOfMonth,Month,MonthName,Quarter,QuarterName,Year,StandardDate
19960107,1/7/1996,07,7th,Sunday,1,7,2,2,01,January,1,First,1996,01/07/1996
19960108,1/8/1996,08,8th,Monday,1,8,2,2,01,January,1,First,1996,01/08/1996
19960109,1/9/1996,09,9th,Tuesday,1,9,2,2,01,January,1,First,1996,01/09/1996
19960110,1/10/1996,10,10th,Wednesday,1,10,2,2,01,January,1,First,1996,01/10/1996
19960111,1/11/1996,11,11th,Thursday,1,11,2,2,01,January,1,First,1996,01/11/1996
19960112,1/12/1996,12,12th,Friday,1,12,2,2,01,January,1,First,1996,01/12/1996
19960113,1/13/1996,13,13th,Saturday,1,13,2,2,01,January,1,First,1996,01/13/1996
19960114,1/14/1996,14,14th,Sunday,2,14,3,3,01,January,1,First,1996,01/14/1996
19960115,1/15/1996,15,15th,Monday,2,15,3,3,01,January,1,First,1996,01/15/1996
19960116,1/16/1996,16,16th,Tuesday,2,16,3,3,01,January,1,First,1996,01/16/1996
19960117,1/17/1996,17,17th,Wednesday,2,17,3,3,01,January,1,First,1996,01/17/1996
19960118,1/18/1996,18,18th,Thursday,2,18,3,3,01,January,1,First,1996,01/18/1996
19960119,1/19/1996,19,19th,Friday,2,19,3,3,01,January,1,First,1996,01/19/1996
19960120,1/20/1996,20,20th,Saturday,2,20,3,3,01,January,1,First,1996,01/20/1996
19960121,1/21/1996,21,21st,Sunday,3,21,4,4,01,January,1,First,1996,01/21/1996
19960122,1/22/1996,22,22nd,Monday,3,22,4,4,01,January,1,First,1996,01/22/1996
19960123,1/23/1996,23,23rd,Tuesday,3,23,4,4,01,January,1,First,1996,01/23/1996
19960124,1/24/1996,24,24th,Wednesday,3,24,4,4,01,January,1,First,1996,01/24/1996
19960125,1/25/1996,25,25th,Thursday,3,25,4,4,01,January,1,First,1996,01/25/1996
19960126,1/26/1996,26,26th,Friday,3,26,4,4,01,January,1,First,1996,01/26/1996
19960127,1/27/1996,27,27th,Saturday,3,27,4,4,01,January,1,First,1996,01/27/1996
19960128,1/28/1996,28,28th,Sunday,4,28,5,5,01,January,1,First,1996,01/28/1996
19960129,1/29/1996,29,29th,Monday,4,29,5,5,01,January,1,First,1996,01/29/1996
19960130,1/30/1996,30,30th,Tuesday,4,30,5,5,01,January,1,First,1996,01/30/1996
