Order_ID,Customer_Fk,Product_Fk,Employee_Fk,Supplier_Fk,Shipper_Fk,ShipInfo_Fk,Freight,UnitPrice,Quantity,Discount,OrderDate_Key,RequiredDate_Key,ShippedDate_Key
10294,65,1,4,1,2,47,147.26,14.4,18,0,19960830,19960927,19960905
10918,10,1,3,1,3,671,48.83,18,60,0.25,19980302,19980330,19980311
10911,30,1,3,1,1,664,38.19,18,10,0,19980226,19980326,19980305
10905,88,1,9,1,2,658,13.72,18,20,0.050000001,19980224,19980324,19980306
11035,76,1,2,1,2,788,0.17,18,10,0,19980420,19980518,19980424
10729,47,1,8,1,3,482,141.06,18,50,0,19971104,19971216,19971114
10611,91,1,6,1,2,364,80.65,18,6,0,19970725,19970822,19970801
10752,53,1,2,1,3,505,1.39,18,8,0,19971124,19971222,19971128
10869,72,1,5,1,1,622,143.28,18,40,0,19980204,19980304,19980209
11047,19,1,7,1,3,800,46.62,18,25,0.25,19980424,19980522,19980501
10863,35,1,4,1,2,616,30.26,18,20,0.150000006,19980202,19980302,19980217
10646,37,1,9,1,3,399,142.33,18,15,0.25,19970827,19971008,19970903
10522,44,1,4,1,1,275,45.33,18,40,0.200000003,19970430,19970528,19970506
10609,18,1,7,1,2,362,1.85,18,3,0,19970724,19970821,19970730
11070,44,1,2,1,1,823,136,18,40,0.150000006,19980505,19980602,
10628,7,1,4,1,3,381,30.36,18,25,0,19970812,19970909,19970820
10590,51,1,4,1,3,343,44.77,18,20,0,19970707,19970804,19970714
10576,80,1,3,1,3,329,18.56,18,10,0,19970623,19970707,19970630
10838,47,1,3,1,3,591,59.28,18,4,0.25,19980119,19980216,19980123
10285,63,1,1,1,2,38,76.83,14.4,45,0.200000003,19960820,19960917,19960826
10847,71,1,4,1,3,600,487.57,18,80,0.200000003,19980122,19980205,19980210
10526,87,1,4,1,2,279,58.59,18,8,0.150000006,19970505,19970602,19970515
10689,5,1,1,1,2,442,13.42,18,35,0.25,19971001,19971029,19971007
10691,63,1,2,1,2,444,810.05,18,30,0,19971003,19971114,19971022
10477,60,1,5,1,2,230,13.02,14.4,15,0,19970317,19970414,19970325
11031,71,1,6,1,2,784,227.22,18,45,0,19980417,19980515,19980424
11003,78,1,3,1,3,756,14.91,18,4,0,19980406,19980504,19980408
10700,71,1,3,1,1,453,65.1,18,5,0.200000003,19971010,19971107,19971016
11005,90,1,2,1,1,758,0.75,18,2,0,19980407,19980505,19980410
11006,32,1,3,1,2,759,25.19,18,8,0,19980407,19980505,19980415
10370,14,1,6,1,2,123,1.17,14.4,15,0.150000006,19961203,19961231,19961227
10413,41,1,3,1,2,166,95.66,14.4,24,0,19970114,19970211,19970116
11025,87,1,6,1,3,778,29.17,18,10,0.100000001,19980415,19980513,19980424
10354,58,1,8,1,3,107,53.8,14.4,12,0,19961114,19961212,19961120
10348,86,1,4,1,2,101,0.78,14.4,15,0.150000006,19961107,19961205,19961115
10935,88,1,4,1,3,688,47.59,18,21,0,19980309,19980406,19980318
10317,48,1,6,1,1,70,12.69,14.4,20,0,19960930,19961028,19961010
10406,62,1,7,1,1,159,108.04,14.4,10,0,19970107,19970218,19970113
10852,65,2,8,1,1,605,174.05,19,15,0,19980126,19980209,19980130
10991,63,2,1,1,1,744,38.51,19,50,0.200000003,19980401,19980429,19980407
10851,67,2,5,1,1,604,160.55,19,5,0.050000001,19980126,19980223,19980202
10813,67,2,1,1,1,566,47.38,19,12,0.200000003,19980105,19980202,19980109
10335,37,2,7,1,2,88,42.11,15.2,7,0.200000003,19961022,19961119,19961024
